carrera,escuela,direccion,maps,pagina_web,telefono
Diseño Web & Mobile,CFT INACAP,"Apoquindo Ote. 7282, Las Condes, Región Metropolitana, Chile",https://goo.gl/maps/JNXGPpDUSrz,http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/carrera-diseno-y-programacion-multimedia,(+56 2) 2472 2500
Diseño y Producción Gráfica,CFT INACAP,"Av. La Tirana 4310, Iquique, Región de Tarapacá, Chile",https://goo.gl/maps/6kos1tWGKTQ2,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(+56 57) 254 4900
Diseño y Producción Gráfica,CFT INACAP,"Francisco de Aguirre 389, La Serena, Región de Coquimbo, Chile",https://goo.gl/maps/6kos1tWGKTQ2,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(+56 51) 255 3500
Diseño y Producción Gráfica,CFT INACAP,"Apoquindo Ote. 7282, Las Condes, Región Metropolitana, Chile",https://goo.gl/maps/JNXGPpDUSrz,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(+56) 2 2472 2500
Diseño y Producción Gráfica,CFT INACAP,"Brown Nte 290, Ñuñoa, Región Metropolitana, Chile",https://goo.gl/maps/36DpUPjYmuu,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(+56) 2 2476 6100
Diseño y Producción Gráfica,CFT INACAP,"Av. Concha Y Toro 2730, Puente Alto, Región Metropolitana, Chile",https://goo.gl/maps/43Snj8KpJov,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(+56) 2 2816 2300
Diseño y Producción Gráfica,CFT INACAP,"Juan Fernández 2010, Curicó,VII Región, Chile",https://goo.gl/maps/kNVL6qzi4CD2,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(+56 75) 254 7400
Diseño y Producción Gráfica,CFT INACAP,"Luis Durand 2150, Temuco, IX Región, Chile",https://goo.gl/maps/FUxALpsburR2,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(+56 45) 291 6700
Diseño y Producción Gráfica,CFT INACAP,"Alcalde René Soriano Bórquez 2382, Osorno, X Región, Chile",https://goo.gl/maps/Xb8ZJUki7QN2,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(+56 64) 255 7100
Diseño y Producción Gráfica,CFT INACAP,"Av. Bulnes 4, Punta Arenas, Región de Magallanes y de la Antártica Chilena, Chile",https://goo.gl/maps/ZpmB6WCdGT42,http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,(+56 61) 271 3100
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,"Río Copiapó Sur 2351, Copiapó, III Región, Chile",https://goo.gl/maps/Ws41yuqemKp,http://ipcft.santotomas.cl/carreras/tecnico-diseno-digital-publicitario/,(+56) 600 444 4444
